Channel Name,Order Count,TP,Avg TP,CP,Avg CP,Cont,Avg.Cont,Total CC,Avg CC,Date
vaigai tv,30,17835,595,29970,999,12135,405,6170,206,2020-11-07
kalaignar,25,75000,3000,94975,3799,19975,799,6226,249,2020-11-07
Raj Digital Plus,20,8916,446,19980,999,11064,553,4230,212,2020-11-07
Our Website,14,10846,775,17086,1220,6240,446,2136,153,2020-11-07
Tamil TV,10,8164,816,12390,1239,4226,423,2140,214,2020-11-07
RTO - Reorder,1,680,680,1099,1099,419,419,99,99,2020-11-07
Total,1364,1217167,892,1901336,1394,684169,502,292868,215,2020-11-07
music zone TAMIL,1264,1082573,856,1643136,1300,560564,443,260325,206,2020-11-08
Murasu TV,190,199740,1051,287310,1512,87570,461,44117,232,2020-11-08
K tv,175,161700,924,262325,1499,100625,575,42879,245,2020-11-08
Raj Digital Plus,52,31200,600,51948,999,20748,399,10902,210,2020-11-08
Puthu Yugam TV,42,38808,924,62958,1499,24150,575,9759,232,2020-11-08
vaigai tv,35,21875,625,34965,999,13090,374,7467,213,2020-11-08
Thamizh Vision TV,32,56040,1751,76968,2405,20928,654,6720,210,2020-11-08
kalaignar,30,40800,1360,59970,1999,19170,639,7971,266,2020-11-08
Tamil TV,17,20349,1197,27183,1599,6834,402,3483,205,2020-11-08
Our Website,13,9283,714,14687,1130,5405,416,1937,149,2020-11-08
Total,1850,1662368,899,2521450,1363,859082,464,395560,214,2020-11-08
music zone TAMIL,906,701864,775,1116094,1232,414231,457,186555,206,2020-11-09
K tv,275,397928,1447,577925,2102,179997,655,67034,244,2020-11-09
Murasu TV,199,181319,911,279401,1404,98083,493,46754,235,2020-11-09
Thamizh Vision TV,58,75493,1302,98942,1706,23450,404,13345,230,2020-11-09
kalaignar,46,20424,444,45954,999,25530,555,10554,229,2020-11-09
vaigai tv,24,12480,520,23976,999,11496,479,4827,201,2020-11-09
Our Website,17,11461,674,18283,1075,6822,401,2683,158,2020-11-09
Tamil TV,14,8400,600,13986,999,5586,399,2887,206,2020-11-09
Raj Digital Plus,11,14325,1302,21489,1954,7164,651,2889,263,2020-11-09
RTO - Reorder,3,1845,615,2997,999,1152,384,497,166,2020-11-09
Total,1553,1425539,918,2199047,1416,773508,498,338025,218,2020-11-09
music zone TAMIL,827,696070,842,1112173,1345,416103,503,179561,217,2020-11-10
K tv,241,317980,1319,481759,1999,163779,680,63060,262,2020-11-10
Murasu TV,159,143182,901,230641,1451,87459,550,34102,214,2020-11-10
kalaignar,41,37884,924,61459,1499,23575,575,9209,225,2020-11-10
vaigai tv,30,17380,579,16170,539,-1210,-40,3275,109,2020-11-10
Thamizh Vision TV,21,62000,2952,77979,3713,15979,761,4630,220,2020-11-10
Raj Digital Plus,18,10800,600,17982,999,7182,399,3882,216,2020-11-10
Tamil TV,16,21225,1327,24984,1562,3759,235,3535,221,2020-11-10
Our Website,5,3445,689,6095,1219,2651,530,745,149,2020-11-10
Total,1358,1309966,965,2029242,1494,719276,530,301999,222,2020-11-10
music zone TAMIL,812,647614,798,1038188,1279,390574,481,172369,212,2020-11-11
K tv,389,282303,726,479611,1233,197308,507,88923,229,2020-11-11
Murasu TV,177,136330,770,225823,1276,89494,506,41025,232,2020-11-11
kalaignar,67,36934,551,66933,999,29999,448,15185,227,2020-11-11
Thamizh Vision TV,51,33970,666,30849,605,-3121,-61,5885,115,2020-11-11
vaigai tv,48,28560,595,47952,999,19392,404,11053,230,2020-11-11
Raj Digital Plus,33,20625,625,32967,999,12342,374,6718,204,2020-11-11
Our Website,15,12010,801,18985,1266,6975,465,2235,149,2020-11-11
Tamil TV,9,5400,600,8991,999,3591,399,1491,166,2020-11-11
Total,1601,1203746,752,1950299,1218,746553,466,344884,215,2020-11-11
music zone TAMIL,846,706201,835,1110454,1313,404253,478,180385,213,2020-11-12
K tv,254,239894,944,390746,1538,150852,594,66747,263,2020-11-12
Murasu TV,202,178648,884,266398,1319,87750,434,46405,230,2020-11-12
kalaignar,36,18720,520,35964,999,17244,479,7916,220,2020-11-12
vaigai tv,24,15000,625,23976,999,8976,374,5078,212,2020-11-12
Thamizh Vision TV,19,9910,522,17381,915,7471,393,3981,210,2020-11-12
Tamil TV,16,21760,1360,31984,1999,10224,639,4334,271,2020-11-12
Raj Digital Plus,13,7505,577,6987,537,-518,-40,1589,122,2020-11-12
Our Website,8,6043,755,9592,1199,3549,444,1242,155,2020-11-12
RTO - Reorder,3,2423,808,3997,1332,1575,525,498,166,2020-11-12
Total,1421,1206104,849,1897479,1335,691375,487,318175,224,2020-11-12
music zone TAMIL,981,813653,829,1246769,1271,433116,442,209862,214,2020-11-13
K tv,193,390522,2023,541307,2805,150785,781,48109,249,2020-11-13
Murasu TV,138,201201,1458,272962,1978,71761,520,33268,241,2020-11-13
Thamizh Vision TV,32,81150,2536,103968,3249,22818,713,7219,226,2020-11-13
