Channel Name,Order Count,TP,Avg TP,CP,Avg CP,Cont,Avg.Cont,Total CC,Avg CC,Date
Murasu TV,246,170114,692,245754,999,75640,307,55012,224,2020-07-22
K tv,216,80449,372,191184,885,110735,513,46696,216,2020-07-22
Thamizh Vision TV,59,58627,994,74841,1268,16214,275,13744,233,2020-07-22
Raj Digital Plus,16,6390,399,15984,999,9594,600,3237,202,2020-07-22
Our Website,7,4627,661,6993,999,2367,338,1043,149,2020-07-22
Total,1162,802493,691,1325538,1141,523045,450,245358,211,2020-07-22
music zone TAMIL,656,558558,851,894144,1363,335586,512,132685,202,2020-07-23
K tv,304,682285,2244,859896,2829,177611,584,70807,233,2020-07-23
Murasu TV,187,172965,925,254813,1363,81848,438,41619,223,2020-07-23
Thamizh Vision TV,111,99849,900,102789,926,2940,26,21392,193,2020-07-23
Raj Digital Plus,35,29225,835,34965,999,5740,164,8615,246,2020-07-23
Our Website,15,13915,928,18085,1206,4170,278,2235,149,2020-07-23
RTO - Reorder,2,2175,1088,3698,1849,1523,762,199,100,2020-07-23
Total,1310,1558972,1190,2168390,1655,609418,465,277552,212,2020-07-23
music zone TAMIL,624,602787,966,910576,1459,307789,493,126848,203,2020-07-24
K tv,234,88825,380,208266,890,119441,510,50723,217,2020-07-24
Murasu TV,181,132289,731,211219,1167,78930,436,39424,218,2020-07-24
Thamizh Vision TV,83,81151,978,83517,1006,2366,29,18820,227,2020-07-24
Raj Digital Plus,29,31504,1086,45171,1558,13667,471,6771,233,2020-07-24
Our Website,14,10207,729,16186,1156,5980,427,2086,149,2020-07-24
Total,1165,946763,813,1474935,1266,528172,453,244672,210,2020-07-24
music zone TAMIL,705,830831,1178,1181595,1676,350765,498,150823,214,2020-07-25
K tv,227,165203,728,264773,1166,99571,439,51129,225,2020-07-25
Murasu TV,103,57718,560,103297,1003,45579,443,20952,203,2020-07-25
Thamizh Vision TV,89,64796,728,88911,999,24115,271,20063,225,2020-07-25
Raj Digital Plus,20,9000,450,19980,999,10980,549,3782,189,2020-07-25
Our Website,16,15734,983,21584,1349,5850,366,2434,152,2020-07-25
Total,1160,1143282,986,1680140,1448,536858,463,249183,215,2020-07-25
music zone TAMIL,905,1165169,1287,1573395,1739,408226,451,189533,209,2020-07-26
K tv,404,836523,2071,1071096,2651,234573,581,96608,239,2020-07-26
Murasu TV,143,147960,1035,222857,1558,74897,524,32861,230,2020-07-26
Thamizh Vision TV,142,120845,851,136458,961,15613,110,30566,215,2020-07-26
Raj Digital Plus,54,46580,863,54546,1010,7966,148,12697,235,2020-07-26
Our Website,11,9216,838,12289,1117,3073,279,1639,149,2020-07-26
Total,1659,2326293,1402,3070641,1851,744348,449,363904,219,2020-07-26
music zone TAMIL,556,549079,988,820444,1476,271365,488,115520,208,2020-07-27
K tv,198,166569,841,252002,1273,85433,431,43358,219,2020-07-27
Murasu TV,163,176849,1085,280837,1723,103988,638,36889,226,2020-07-27
Thamizh Vision TV,39,25011,641,32761,840,7750,199,6263,161,2020-07-27
Raj Digital Plus,30,16538,551,29970,999,13433,448,6221,207,2020-07-27
Our Website,11,9252,841,12789,1163,3537,322,1639,149,2020-07-27
RTO - Reorder,1,595,595,999,999,404,404,199,199,2020-07-27
Total,998,943893,946,1429802,1433,485909,487,210089,211,2020-07-27
music zone TAMIL,543,544833,1003,832757,1534,287924,530,115733,213,2020-07-28
K tv,287,181616,633,306413,1068,124797,435,62268,217,2020-07-28
Murasu TV,174,119355,686,173626,998,54271,312,39030,224,2020-07-28
Thamizh Vision TV,61,42878,703,60939,999,18061,296,13640,224,2020-07-28
Raj Digital Plus,20,12000,600,19980,999,7980,399,3631,182,2020-07-28
Our Website,10,8653,865,10590,1059,1937,194,1540,154,2020-07-28
RTO - Reorder,1,715,715,1099,1099,384,384,99,99,2020-07-28
Total,1096,910050,830,1405404,1282,495354,452,235941,215,2020-07-28
music zone TAMIL,626,896003,1431,1285174,2053,389172,622,148936,238,2020-07-29
K tv,324,1052584,3249,1386676,4280,334092,1031,117676,363,2020-07-29
Murasu TV,155,139865,902,201145,1298,61280,395,34996,226,2020-07-29
Raj Digital Plus,68,58338,858,67932,999,9594,141,15233,224,2020-07-29
Thamizh Vision TV,67,41938,626,62533,933,20595,307,14637,218,2020-07-29
Our Website,10,11073,1107,15590,1559,4518,452,1490,149,2020-07-29
RTO - Reorder,3,2851,950,4697,1566,1846,615,597,199,2020-07-29
Total,1253,2202652,1758,3023747,2413,821095,655,333565,266,2020-07-29
music zone TAMIL,538,775643,1442,1110262,2064,334619,622,122536,228,2020-07-30
K tv,314,280667,894,456386,1453,175719,560,73642,235,2020-07-30
Murasu TV,136,119913,882,182564,1342,62652,461,31119,229,2020-07-30
Thamizh Vision TV,49,39836,813,57451,1172,17615,359,11001,225,2020-07-30
Raj Digital Plus,28,33177,1185,44172,1578,10995,393,5574,199,2020-07-30
Shopping Zone TN,12,16973,1414,24088,2007,7116,593,2288,191,2020-07-30
Our Website,8,6910,864,9392,1174,2482,310,1242,155,2020-07-30
Music Zone AP,1,1512,1512,1999,1999,487,487,299,299,2020-07-30
Total,1086,1274631,1174,1886314,1737,611683,563,247701,228,2020-07-30
music zone TAMIL,516,687831,1333,1005984,1950,318153,617,109602,212,2020-07-31
K tv,212,111319,525,215088,1015,103770,489,47445,224,2020-07-31
Murasu TV,160,92190,576,160840,1005,68650,429,35293,221,2020-07-31
Thamizh Vision TV,91,75492,830,89809,987,14317,157,19213,211,2020-07-31
kalaignar,71,39139,551,70929,999,31790,448,15131,213,2020-07-31
7s Music,24,10570,440,23976,999,13406,559,5276,220,2020-07-31
Raj Digital Plus,24,14280,595,23976,999,9696,404,5278,220,2020-07-31
Our Website,12,11721,977,15988,1332,4267,356,1838,153,2020-07-31
Total,1110,1042542,939,1606590,1447,564048,508,239076,215,2020-07-31
music zone TAMIL,602,700831,1164,1050898,1746,350067,582,136170,226,2020-08-01
Murasu TV,205,247961,1210,358795,1750,110834,541,48851,238,2020-08-01
K tv,123,399752,3250,550877,4479,151125,1229,37178,302,2020-08-01
Thamizh Vision TV,99,94431,954,99701,1007,5270,53,23351,236,2020-08-01
kalaignar,93,140616,1512,185907,1999,45291,487,23759,255,2020-08-01
7s Music,37,26455,715,40663,1099,14208,384,7264,196,2020-08-01
Raj Digital Plus,31,34286,1106,49569,1599,15283,493,6720,217,2020-08-01
Our Website,6,7438,1240,8994,1499,1556,259,944,157,2020-08-01
Total,1196,1651770,1381,2345404,1961,693634,580,284237,238,2020-08-01
music zone TAMIL,731,1007139,1378,1453569,1988,446431,611,164993,226,2020-08-02
Murasu TV,292,261893,897,396708,1359,134816,462,63816,219,2020-08-02
K tv,264,188125,713,289736,1097,101611,385,55694,211,2020-08-02
kalaignar,71,33370,470,71529,1007,38159,537,15980,225,2020-08-02
Raj Digital Plus,64,54912,858,63936,999,9024,141,15238,238,2020-08-02
7s Music,41,60916,1486,80959,1975,20043,489,10110,247,2020-08-02
Thamizh Vision TV,41,42020,1025,37759,921,-4261,-104,6612,161,2020-08-02
Our Website,21,20263,965,28579,1361,8317,396,2732,130,2020-08-02
Eagle TV,2,1670,835,1998,999,328,164,498,249,2020-08-02
RTO - Reorder,1,1512,1512,1999,1999,487,487,299,299,2020-08-02
Total,1528,1671820,1094,2426772,1588,754952,494,335972,220,2020-08-02
music zone TAMIL,590,615755,1044,918510,1557,302755,513,120589,204,2020-08-03
K tv,282,276128,979,408018,1447,131891,468,65626,233,2020-08-03
Murasu TV,183,164612,900,236817,1294,72205,395,40223,220,2020-08-03
kalaignar,58,102131,1761,153342,2644,51211,883,14344,247,2020-08-03
Thamizh Vision TV,57,34200,600,56943,999,22743,399,12593,221,2020-08-03
Raj Digital Plus,19,10763,566,18981,999,8219,433,4331,228,2020-08-03
Our Website,10,11543,1154,13990,1399,2448,245,1490,149,2020-08-03
RTO - Reorder,1,680,680,999,999,319,319,299,299,2020-08-03
Total,1200,1215812,1013,1807600,1506,591788,493,259495,216,2020-08-03
music zone TAMIL,503,528198,1050,808897,1608,280700,558,105819,210,2020-08-04
K tv,241,126612,525,244759,1016,118148,490,51670,214,2020-08-04
Murasu TV,148,128182,866,202552,1369,74370,503,32305,218,2020-08-04
Thamizh Vision TV,118,101244,858,117882,999,16638,141,26636,226,2020-08-04
kalaignar,117,100189,856,116983,1000,16794,144,27684,237,2020-08-04
Raj Digital Plus,10,18750,1875,29990,2999,11240,1124,2191,219,2020-08-04
Our Website,9,9182,1020,14291,1588,5109,568,1341,149,2020-08-04
RTO - Reorder,1,450,450,999,999,549,549,299,299,2020-08-04
Total,1147,1012807,883,1536353,1339,523546,456,247945,216,2020-08-04
music zone TAMIL,662,541174,817,904538,1366,363364,549,137226,207,2020-08-05
K tv,269,105559,392,243231,904,137672,512,58036,216,2020-08-05
Murasu TV,241,163086,677,240759,999,77674,322,51965,216,2020-08-05
Thamizh Vision TV,76,67106,883,75924,999,8818,116,16874,222,2020-08-05
kalaignar,56,26322,470,55944,999,29622,529,10748,192,2020-08-05
Raj Digital Plus,27,11906,441,26973,999,15067,558,6073,225,2020-08-05
Our Website,11,11266,1024,15989,1454,4723,429,1689,154,2020-08-05
Total,1342,926419,690,1563358,1165,636939,475,282611,211,2020-08-05
music zone TAMIL,668,464052,695,818532,1225,354480,531,133865,200,2020-08-06
K tv,215,112794,525,214785,999,101991,474,47390,220,2020-08-06
Murasu TV,169,107506,636,168831,999,61325,363,35689,211,2020-08-06
Thamizh Vision TV,72,44389,617,54328,755,9939,138,11382,158,2020-08-06
Raj Digital Plus,47,40326,858,46953,999,6627,141,9756,208,2020-08-06
kalaignar,38,2919,77,26562,699,23643,622,7462,196,2020-08-06
Our Website,9,7769,863,12391,1377,4622,514,1341,149,2020-08-06
Total,1218,779755,640,1342382,1102,562627,462,246885,203,2020-08-06
music zone TAMIL,652,429286,658,753548,1156,324262,497,127738,196,2020-08-07
K tv,246,93584,380,219054,890,125470,510,51755,210,2020-08-07
Murasu TV,194,175560,905,256806,1324,81246,419,43860,226,2020-08-07
Thamizh Vision TV,100,95882,959,99900,999,4018,40,21452,215,2020-08-07
Raj Digital Plus,28,16800,600,27972,999,11172,399,5426,194,2020-08-07
kalaignar,26,48750,1875,72774,2799,24024,924,6624,255,2020-08-07
Our Website,22,17165,780,27778,1263,10614,482,3278,149,2020-08-07
RTO - Reorder,1,1169,1169,1599,1599,430,430,199,199,2020-08-07
Total,1269,878196,692,1459431,1150,581235,458,260332,205,2020-08-07
music zone TAMIL,691,555860,804,893409,1293,337549,488,135249,196,2020-08-08
K tv,248,78893,318,220752,890,141859,572,53209,215,2020-08-08
Murasu TV,163,97845,600,183837,1128,85993,528,35492,218,2020-08-08
kalaignar,74,40793,551,73926,999,33134,448,16027,217,2020-08-08
Thamizh Vision TV,51,41600,816,58949,1156,17349,340,11352,223,2020-08-08
Raj Digital Plus,38,22610,595,37962,999,15352,404,7813,206,2020-08-08
Our Website,9,9500,1056,15291,1699,5791,643,1341,149,2020-08-08
Total,1274,847101,665,1484126,1165,637025,500,260483,204,2020-08-08
music zone TAMIL,799,626129,784,1056501,1322,430373,539,157245,197,2020-08-09
Murasu TV,249,275845,1108,382251,1535,106406,427,56607,227,2020-08-09
K tv,187,144472,773,260213,1392,115741,619,36723,196,2020-08-09
Thamizh Vision TV,76,76000,1000,75924,999,-76,-1,16325,215,2020-08-09
kalaignar,44,52125,1185,75156,1708,23031,523,9458,215,2020-08-09
Raj Digital Plus,39,21499,551,38961,999,17462,448,8562,220,2020-08-09
Our Website,6,6888,1148,8594,1432,1706,284,894,149,2020-08-09
Total,1400,1202958,859,1897600,1355,694642,496,285814,204,2020-08-09
music zone TAMIL,509,415827,817,692991,1361,277164,545,104310,205,2020-08-10
K tv,274,111582,407,249326,910,137744,503,57685,211,2020-08-10
Murasu TV,206,106734,518,205494,998,98760,479,42601,207,2020-08-10
Thamizh Vision TV,100,82421,824,95700,957,13279,133,20754,208,2020-08-10
Raj Digital Plus,30,12150,405,29970,999,17820,594,6421,214,2020-08-10
Our Website,14,12879,920,18986,1356,6107,436,2086,149,2020-08-10
kalaignar,1,1176,1176,1699,1699,523,523,199,199,2020-08-10
RTO - Reorder,1,453,453,999,999,546,546,199,199,2020-08-10
Total,1135,743222,655,1295165,1141,551943,486,234255,206,2020-08-10
music zone TAMIL,580,522160,900,855020,1474,332860,574,112505,194,2020-08-11
K tv,201,135948,676,244199,1215,108251,539,45455,226,2020-08-11
Murasu TV,133,148174,1114,198967,1496,50793,382,25082,189,2020-08-11
